title,description,genres
Toy Story ,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","Animation, Adventure, Family, Comedy"
Jumanji ,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!","Adventure, Comedy, Fantasy, Action, Family"
Grumpier Old Men ,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.","Romance, Comedy"
Waiting to Exhale ,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.","Comedy, Drama, Romance"
Father of the Bride Part II ,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.","Comedy, Family"
Heat ,"In France in the near future, revolt and chaos erupt. A right-wing politician, Philippe Muphand, is set to take control when his lady friend Caroline walks out, announcing she will take up with the first fool she sees. The fool is Serge Laine, a professor and author of the prize-winning ""Le voyage qui ne finit pas,"" headed to the train station for tickets to Barcelona where he and his wife will enjoy a second honeymoon and he will lecture at the university. Caroline seduces Serge, and he soon abandons wife, family, job, and honesty to embrace Caroline, the romanticism of Jack London, and murder.","Drama, Romance"
Sabrina ,"When he wins a contest, seventeen-year-old Daniel Montero gets to spend a night in Buenos Aires with his favorite adult movie star, Sabrina Love. However, getting there will be half the trouble of meeting Sabrina.","Comedy, Drama, Romance"
Tom and Huck ,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","Family, Action, Adventure, Drama"
Sudden Death ,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,"Action, Drama, Thriller, Crime"
GoldenEye ,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon.","Adventure, Action, Thriller"
"American President, The ","Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","Comedy, Drama, Romance"
Dracula: Dead and Loving It ,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.","Comedy, Horror"
Balto ,"Winter 1925 in Alaska. Nome, a small place situated almost at the north pole, is cut off from the external world. But the children and their friends, the clumsy polar bear, the clever seal and of course the huskies keep on playing anyhow. But then one child after another gets sick. ""Diphtheria "", says the doctor, "" we don't have enough medicine."" There is only one chance to save the children. Balto and Kemo, the two fastest sled dogs of the village are chosen to get the medicine from the city. But this City is more than 400 miles away from Nome.","Animation, Family"
Nixon ,"For three years after being forced from office, Nixon remained silent. But in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the Watergate scandal that ended his presidency. Nixon surprised everyone in selecting Frost as his televised confessor, intending to easily outfox the breezy British showman and secure a place in the hearts and minds of Americans. Likewise, Frost's team harboured doubts about their boss's ability to hold his own. But as the cameras rolled, a charged battle of wits resulted.","Drama, History"
Cutthroat Island ,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","Action, Adventure"
Casino ,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career.","Adventure, Action, Thriller"
Sense and Sensibility ,"A period adaptation of Jane Austen's Sense and Sensibility. After a change in circumstances, Marianne is torn between two men, while Elinor longs for a man beyond reach.","TV Movie, Comedy, Drama"
Four Rooms ,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Comedy
Ace Ventura: When Nature Calls ,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","Crime, Comedy, Adventure"
Money Train ,"When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.","Action, Comedy, Crime"
Get Shorty ,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","Comedy, Thriller, Crime"
Copycat ,"Based on the best-selling novel by Miyuki Miyabe. The title “Mohouhan” means “Copycat”, and it tells the story of a criminal who abducts and kills women, and those who try to catch him. Nakai is cast as a cold-blooded, intelligent and evil guy who uses the media to announce and show his murders live to the public.","Crime, Drama, Mystery"
Assassins ,"In the year 198, Cao Cao, Prime Minister of the Han Dynasty, ventured to the east and defeated China's greatest warrior Lu Bu, terrifying every ambitious warlord across the country. Several years later, after taking the Han Emperor under his wing, Cao crowns himself King of Wei. He built a magnificent Bronze Sparrow Island to symbolize his power and rumors spread that he would replace the Emperor. Meanwhile, young lovers Mu Shun and Ling Ju are taken from a prison camp to a hidden tomb, where they spend five cruel years together, training as assassins for a secret mission. In the year 220 astronomical signs predict dramatic change. As a result, Cao's son Cao Pi and Cao's followers urge Cao to become the new Emperor - but unknown opposing forces plot against him.","Drama, History"
Powder ,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","Drama, Fantasy"
Leaving Las Vegas ,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","Drama, Romance"
Othello ,"With freshly rechristened characters and brand-new dialogue, this British TV production of Othello is a ""rethinking"" of Shakespeare's play, albeit still retaining the original's power and potency. The story is set in the London of the near future, a crime-ridden metropolis virtually torn apart by racial hostilities. By order of the Prime Minister, black police officer John Othello (Eamonn Walker) is promoted to Commissioner, a post dearly coveted by Othello's friend, mentor and fellow officer Ben Jago (Christopher Eccleston). Seething with jealousy, Jago contrives to discredit Othello in the eyes of the public, and to destroy John's interracial marriage to the lily-white Dessie (Keeley Hawes). Among those used as unwitting dupes to gain Jago's ends are Othello's trusted lieutenant, Michael Cass (Richard Coyle), scrupulously honest police constable Alan Roderick (Del Synnott), and Jago's own wife, Lulu (Rachael Stirling).",Drama
Now and Then ,"An intertwining story of coincidence and closure. Now, then and before the ""death"" of his YouTube partner and best friend, Seamus tries to come to terms with his new predicament and create a final video for the channel, a sendoff to the last five years of friendship.","Comedy, Crime, Drama"
Persuasion ,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.","Romance, Drama, Comedy"
"City of Lost Children, The ","A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","Fantasy, Science Fiction, Adventure"
Shanghai Triad ,"Shanghai, China, 1930. When young Shuisheng arrives from the countryside, his uncle Liushu puts him at the service of Bijou, the mistress of Laoda, supreme boss of the Tang Triad, constantly threatened by his enemies, both those he knows and those lurking in the shadows.","Drama, Crime"
Dangerous Minds ,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",Drama
Twelve Monkeys ,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.","Science Fiction, Thriller, Mystery"
Wings of Courage ,"In 1930 South America, a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight, he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.","Romance, Adventure"
Babe ,"Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job.","Comedy, Crime, Thriller"
Carrington ,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.","History, Drama, Romance"
